时间,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-01 09:31,21.02,21.15,21.19,21.02,7818,16467839.00,0.81,0.67,0.14,0.05
2022-04-01 09:32,21.15,20.96,21.15,20.94,7472,15728597.00,0.99,-0.90,-0.19,0.05
2022-04-01 09:33,20.99,20.99,21.04,20.96,2665,5597751.00,0.38,0.14,0.03,0.02
2022-04-01 09:34,21.00,20.95,21.00,20.79,7461,15590586.00,1.00,-0.19,-0.04,0.05
2022-04-01 09:35,21.00,20.93,21.04,20.93,1767,3710147.00,0.53,-0.10,-0.02,0.01
2022-04-01 09:36,20.93,20.83,20.93,20.83,3905,8140936.00,0.48,-0.48,-0.10,0.03
2022-04-01 09:37,20.84,20.85,20.90,20.82,3683,7676134.00,0.38,0.10,0.02,0.03
2022-04-01 09:38,20.83,20.74,20.86,20.74,3628,7550996.00,0.58,-0.53,-0.11,0.02
2022-04-01 09:39,20.73,20.75,20.76,20.69,7002,14501127.00,0.34,0.05,0.01,0.05
2022-04-01 09:40,20.73,20.66,20.73,20.64,4253,8797830.00,0.43,-0.43,-0.09,0.03
2022-04-01 09:41,20.68,20.83,20.85,20.68,3231,6719002.00,0.82,0.82,0.17,0.02
2022-04-01 09:42,20.82,20.91,20.91,20.78,3383,7042430.00,0.62,0.38,0.08,0.02
2022-04-01 09:43,20.93,20.85,20.97,20.85,1247,2607720.00,0.57,-0.29,-0.06,0.01
2022-04-01 09:44,20.86,20.92,20.96,20.85,1707,3570458.00,0.53,0.34,0.07,0.01
2022-04-01 09:45,20.93,20.84,20.93,20.82,1337,2791442.00,0.53,-0.38,-0.08,0.01
2022-04-01 09:46,20.83,20.76,20.84,20.76,897,1865576.00,0.38,-0.38,-0.08,0.01
2022-04-01 09:47,20.76,20.75,20.77,20.75,1221,2534230.00,0.10,-0.05,-0.01,0.01
2022-04-01 09:48,20.75,20.80,20.82,20.75,1916,3983546.00,0.34,0.24,0.05,0.01
2022-04-01 09:49,20.79,20.82,20.84,20.79,929,1933568.00,0.24,0.10,0.02,0.01
2022-04-01 09:50,20.82,20.82,20.83,20.80,1093,2274619.00,0.14,0.00,0.00,0.01
2022-04-01 09:51,20.81,20.80,20.83,20.76,1573,3271136.00,0.34,-0.10,-0.02,0.01
2022-04-01 09:52,20.84,20.84,20.86,20.81,804,1675681.00,0.24,0.19,0.04,0.01
2022-04-01 09:53,20.82,20.83,20.83,20.79,1427,2969618.00,0.19,-0.05,-0.01,0.01
2022-04-01 09:54,20.80,20.95,20.95,20.80,1665,3478618.00,0.72,0.58,0.12,0.01
2022-04-01 09:55,20.95,20.88,20.95,20.86,1542,3225144.00,0.43,-0.33,-0.07,0.01
2022-04-01 09:56,20.88,20.81,20.89,20.80,950,1980405.00,0.43,-0.34,-0.07,0.01
