时间,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-04-06,7.06,6.83,7.18,6.62,1205047,822953328.00,7.61,-7.20,-0.53,25.59
2021-04-07,6.70,6.97,7.17,6.67,1056154,731701824.00,7.32,2.05,0.14,22.43
2021-04-08,6.75,6.27,6.75,6.27,873725,558955728.00,6.89,-10.04,-0.70,18.55
2021-04-09,6.12,6.13,6.29,6.06,561565,345531520.00,3.67,-2.23,-0.14,11.92
2021-04-12,6.17,6.25,6.36,6.04,586532,363963536.00,5.22,1.96,0.12,12.45
2021-04-13,6.24,5.91,6.24,5.71,638656,378802336.00,8.48,-5.44,-0.34,13.56
2021-04-14,5.74,5.83,5.95,5.68,404592,234747164.00,4.57,-1.35,-0.08,8.59
2021-04-15,5.77,5.73,5.97,5.70,411564,239027616.00,4.63,-1.72,-0.10,8.74
2021-04-16,5.74,5.75,5.81,5.64,330479,189660102.00,2.97,0.35,0.02,7.02
2021-04-19,5.75,5.81,5.87,5.66,351925,203686126.00,3.65,1.04,0.06,7.47
2021-04-20,5.75,5.60,5.89,5.51,519052,295864352.00,6.54,-3.61,-0.21,11.02
2021-04-21,5.55,5.59,5.63,5.43,297090,164554306.00,3.57,-0.18,-0.01,6.31
2021-04-22,5.57,5.46,5.60,5.44,270244,148701714.00,2.86,-2.33,-0.13,5.74
2021-04-23,5.47,5.41,5.53,5.37,281894,153236117.00,2.93,-0.92,-0.05,5.99
2021-04-26,5.53,5.39,5.68,5.38,350270,193709423.00,5.55,-0.37,-0.02,7.44
2021-04-27,5.33,5.54,5.60,5.27,405559,221428949.00,6.12,2.78,0.15,8.61
2021-04-28,5.53,5.58,5.65,5.48,363537,202481271.00,3.07,0.72,0.04,7.72
2021-04-29,5.57,5.38,5.58,5.31,287775,155881593.00,4.84,-3.58,-0.20,6.11
2021-04-30,5.35,5.58,5.66,5.33,394800,218450078.00,6.13,3.72,0.20,8.38
2021-05-06,5.58,5.72,5.83,5.53,504596,287735600.00,5.38,2.51,0.14,10.72
2021-05-07,5.62,5.79,5.79,5.43,477380,268451216.00,6.29,1.22,0.07,10.14
2021-05-10,5.71,5.75,5.79,5.61,372994,212672391.00,3.11,-0.69,-0.04,7.92
2021-05-11,5.69,5.88,5.98,5.62,459073,267628764.00,6.26,2.26,0.13,9.75
2021-05-12,5.82,6.13,6.25,5.82,633816,384643888.00,7.31,4.25,0.25,13.46
2021-05-13,5.96,5.78,6.06,5.74,476378,280645440.00,5.22,-5.71,-0.35,10.12
2021-05-14,5.75,5.63,5.81,5.61,359860,204525794.00,3.46,-2.60,-0.15,7.64
2021-05-17,5.57,5.46,5.59,5.42,228920,125255749.00,3.02,-3.02,-0.17,4.86
2021-05-18,5.47,5.52,5.53,5.35,189830,103498419.00,3.30,1.10,0.06,4.03
2021-05-19,5.51,5.37,5.54,5.36,204039,110532038.00,3.26,-2.72,-0.15,4.33
2021-05-20,5.32,5.40,5.41,5.25,179735,96037618.00,2.98,0.56,0.03,3.82
2021-05-21,5.39,5.53,5.56,5.36,225452,123958039.00,3.70,2.41,0.13,4.79
2021-05-24,5.63,5.47,5.69,5.38,233702,128477689.00,5.61,-1.08,-0.06,4.96
2021-05-25,5.44,5.50,5.51,5.33,201287,109151666.00,3.29,0.55,0.03,4.27
2021-05-26,5.48,5.69,5.79,5.42,381503,214068752.00,6.73,3.45,0.19,8.10
2021-05-27,5.62,5.70,5.76,5.60,296856,168852129.00,2.81,0.18,0.01,6.30
2021-05-28,5.71,5.54,5.71,5.54,219564,123474414.00,2.98,-2.81,-0.16,4.66
2021-05-31,5.48,5.49,5.54,5.43,161959,88654910.00,1.99,-0.90,-0.05,3.44
2021-06-01,5.49,5.83,5.85,5.45,427816,243544761.00,7.29,6.19,0.34,9.08
2021-06-02,5.70,5.79,5.92,5.70,418229,242678459.00,3.77,-0.69,-0.04,8.88
2021-06-03,5.77,5.94,6.05,5.73,463411,273779584.00,5.53,2.59,0.15,9.84
2021-06-04,5.86,5.77,6.01,5.75,314976,184350190.00,4.38,-2.86,-0.17,6.69
2021-06-07,5.76,5.64,5.76,5.58,249314,140407005.00,3.12,-2.25,-0.13,5.29
2021-06-08,5.58,5.62,5.71,5.55,196187,110145403.00,2.84,-0.35,-0.02,4.17
2021-06-09,5.62,5.50,5.65,5.48,179840,99485058.00,3.02,-2.14,-0.12,3.82
2021-06-10,5.48,5.39,5.53,5.39,181871,98898340.00,2.55,-2.00,-0.11,3.86
2021-06-11,5.42,5.43,5.52,5.39,132341,72188564.00,2.41,0.74,0.04,2.81
2021-06-15,5.42,4.91,5.44,4.89,332295,169783587.00,10.13,-9.58,-0.52,7.06
2021-06-16,4.88,4.86,4.96,4.82,151042,73675889.00,2.85,-1.02,-0.05,3.21
2021-06-17,4.85,4.88,4.90,4.84,97904,47660967.00,1.23,0.41,0.02,2.08
2021-06-18,4.88,4.93,4.96,4.84,94348,46291500.00,2.46,1.02,0.05,2.00
2021-06-21,4.90,4.99,5.01,4.88,100503,49895225.00,2.64,1.22,0.06,2.13
2021-06-22,5.03,5.07,5.18,5.00,162681,83038854.00,3.61,1.60,0.08,3.45
2021-06-23,5.03,5.08,5.10,4.98,130196,65358210.00,2.37,0.20,0.01,2.76
2021-06-24,5.04,4.96,5.06,4.96,92594,46194955.00,1.97,-2.36,-0.12,1.97
2021-06-25,4.95,4.96,4.99,4.88,89858,44310205.00,2.22,0.00,0.00,1.91
2021-06-28,5.01,5.02,5.07,4.98,100229,50392089.00,1.81,1.21,0.06,2.13
2021-06-29,5.00,4.92,5.01,4.92,78080,38654450.00,1.79,-1.99,-0.10,1.66
2021-06-30,4.92,4.96,4.97,4.87,72259,35542420.00,2.03,0.81,0.04,1.53
2021-07-01,4.98,4.76,4.99,4.76,112204,54482138.00,4.64,-4.03,-0.20,2.38
2021-07-02,4.77,4.78,4.88,4.74,89513,43003615.00,2.94,0.42,0.02,1.90
2021-07-05,4.77,4.86,4.87,4.72,73629,35570652.00,3.14,1.67,0.08,1.56
2021-07-06,4.90,5.04,5.18,4.90,209860,105875119.00,5.76,3.70,0.18,4.46
2021-07-07,4.96,5.00,5.10,4.95,115728,57789241.00,2.98,-0.79,-0.04,2.46
2021-07-08,5.01,4.96,5.02,4.93,81432,40384879.00,1.80,-0.80,-0.04,1.73
2021-07-09,4.99,4.93,4.99,4.87,87391,42943388.00,2.42,-0.60,-0.03,1.86
2021-07-12,5.00,4.99,5.08,4.98,95284,47778730.00,2.03,1.22,0.06,2.02
2021-07-13,4.96,5.01,5.05,4.93,84954,42449135.00,2.40,0.40,0.02,1.80
2021-07-14,4.99,5.03,5.06,4.96,107199,53801966.00,2.00,0.40,0.02,2.28
2021-07-15,5.06,5.16,5.22,4.98,241637,123399047.00,4.77,2.58,0.13,5.13
2021-07-16,5.13,5.04,5.14,5.02,152525,77216788.00,2.33,-2.33,-0.12,3.24
2021-07-19,5.00,5.05,5.10,4.93,147643,74044313.00,3.37,0.20,0.01,3.14
2021-07-20,4.98,4.97,5.02,4.95,88750,44136335.00,1.39,-1.58,-0.08,1.88
2021-07-21,4.98,4.97,5.04,4.97,75822,37856579.00,1.41,0.00,0.00,1.61
2021-07-22,4.95,5.03,5.04,4.92,108795,54121833.00,2.41,1.21,0.06,2.31
2021-07-23,5.00,5.11,5.20,4.99,246293,126178586.00,4.17,1.59,0.08,5.23
2021-07-26,5.14,5.17,5.23,5.06,224394,115683827.00,3.33,1.17,0.06,4.76
2021-07-27,5.30,5.37,5.69,5.15,447241,241391395.00,10.44,3.87,0.20,9.50
2021-07-28,5.20,5.07,5.29,5.03,245759,126130832.00,4.84,-5.59,-0.30,5.22
2021-07-29,5.05,5.17,5.26,5.03,214581,110394733.00,4.54,1.97,0.10,4.56
2021-07-30,5.14,5.26,5.26,5.07,192617,99871224.00,3.68,1.74,0.09,4.09
2021-08-02,5.20,5.35,5.38,5.17,220371,117232417.00,3.99,1.71,0.09,4.68
2021-08-03,5.30,5.38,5.53,5.28,294563,158180206.00,4.67,0.56,0.03,6.26
2021-08-04,5.34,5.31,5.36,5.28,169582,90076013.00,1.49,-1.30,-0.07,3.60
2021-08-05,5.30,5.32,5.37,5.19,210589,111387855.00,3.39,0.19,0.01,4.47
2021-08-06,5.24,5.21,5.26,5.15,134192,69729353.00,2.07,-2.07,-0.11,2.85
2021-08-09,5.22,5.25,5.33,5.22,119262,62860765.00,2.11,0.77,0.04,2.53
2021-08-10,5.21,5.26,5.30,5.18,128024,67221583.00,2.29,0.19,0.01,2.72
2021-08-11,5.22,5.23,5.26,5.18,124824,64984229.00,1.52,-0.57,-0.03,2.65
2021-08-12,5.23,5.40,5.46,5.21,305311,163743715.00,4.78,3.25,0.17,6.48
2021-08-13,5.42,5.45,5.46,5.30,228963,123213761.00,2.96,0.93,0.05,4.86
2021-08-16,5.46,5.60,5.60,5.40,342483,189400297.00,3.67,2.75,0.15,7.27
2021-08-17,5.65,5.47,5.70,5.35,305166,168034978.00,6.25,-2.32,-0.13,6.48
2021-08-18,5.50,5.59,5.70,5.48,291390,162697316.00,4.02,2.19,0.12,6.19
2021-08-19,5.50,5.38,5.50,5.35,186814,101051118.00,2.68,-3.76,-0.21,3.97
2021-08-20,5.29,5.03,5.30,4.84,246025,124258218.00,8.55,-6.51,-0.35,5.22
2021-08-23,5.00,5.05,5.07,4.97,146471,73641525.00,1.99,0.40,0.02,3.11
2021-08-24,5.01,4.92,5.04,4.92,172480,85719632.00,2.38,-2.57,-0.13,3.66
2021-08-25,4.91,4.99,5.01,4.89,102616,51006701.00,2.44,1.42,0.07,2.18
2021-08-26,4.98,4.91,4.98,4.90,100755,49663342.00,1.60,-1.60,-0.08,2.14
2021-08-27,4.91,4.90,4.92,4.85,82415,40269124.00,1.43,-0.20,-0.01,1.75
2021-08-30,4.90,4.93,4.98,4.89,80748,39902518.00,1.84,0.61,0.03,1.71
2021-08-31,4.94,4.94,4.97,4.88,90782,44669921.00,1.83,0.20,0.01,1.93
2021-09-01,4.95,4.98,4.99,4.90,111972,55455114.00,1.82,0.81,0.04,2.38
2021-09-02,4.99,5.04,5.05,4.95,100493,50322264.00,2.01,1.20,0.06,2.13
2021-09-03,5.05,5.12,5.15,5.02,152882,77782599.00,2.58,1.59,0.08,3.25
2021-09-06,5.13,5.07,5.15,5.03,96875,49135415.00,2.34,-0.98,-0.05,2.06
2021-09-07,5.06,5.12,5.13,5.03,119136,60729889.00,1.97,0.99,0.05,2.53
2021-09-08,5.12,5.22,5.30,5.10,205065,106434879.00,3.91,1.95,0.10,4.35
2021-09-09,5.22,5.25,5.37,5.19,177027,93061109.00,3.45,0.57,0.03,3.76
2021-09-10,5.22,5.16,5.29,5.16,124300,64803979.00,2.48,-1.71,-0.09,2.64
2021-09-13,5.17,5.27,5.29,5.12,118125,61463825.00,3.29,2.13,0.11,2.51
2021-09-14,5.28,5.09,5.28,5.09,121122,62573925.00,3.61,-3.42,-0.18,2.57
2021-09-15,5.05,5.18,5.20,5.03,94705,48733207.00,3.34,1.77,0.09,2.01
2021-09-16,5.25,5.70,5.70,5.23,847942,475236240.00,9.07,10.04,0.52,18.01
2021-09-17,5.38,5.46,5.67,5.38,679807,376082240.00,5.09,-4.21,-0.24,14.44
2021-09-22,5.47,5.56,5.62,5.44,358848,198804925.00,3.30,1.83,0.10,7.62
2021-09-23,5.57,5.62,5.69,5.51,392056,219952661.00,3.24,1.08,0.06,8.33
2021-09-24,5.56,5.38,5.58,5.38,260933,141871903.00,3.56,-4.27,-0.24,5.54
2021-09-27,5.58,5.92,5.92,5.53,476935,274505952.00,7.25,10.04,0.54,10.13
2021-09-28,6.05,5.95,6.15,5.71,723668,427723152.00,7.43,0.51,0.03,15.37
2021-09-29,5.99,6.30,6.55,5.99,935981,586826848.00,9.41,5.88,0.35,19.88
2021-09-30,6.13,6.43,6.55,6.01,699513,440196112.00,8.57,2.06,0.13,14.85
2021-10-08,7.07,7.07,7.07,7.07,87153,61617030.00,0.00,9.95,0.64,1.85
2021-10-11,7.40,7.78,7.78,7.20,1299920,991307040.00,8.20,10.04,0.71,27.60
2021-10-12,7.25,7.00,7.40,7.00,783357,558600800.00,5.14,-10.03,-0.78,16.63
2021-10-13,6.70,6.30,6.82,6.30,637801,410571200.00,7.43,-10.00,-0.70,13.54
2021-10-14,5.98,6.06,6.24,5.97,678256,412608336.00,4.29,-3.81,-0.24,14.40
2021-10-15,6.20,6.48,6.66,6.02,863117,545640272.00,10.56,6.93,0.42,18.33
2021-10-18,6.10,6.47,6.74,6.07,725942,465066128.00,10.34,-0.15,-0.01,15.42
2021-10-19,6.53,6.40,6.70,6.22,590172,378897824.00,7.42,-1.08,-0.07,12.53
2021-10-20,6.32,6.34,6.40,6.17,432601,272151936.00,3.59,-0.94,-0.06,9.19
2021-10-21,6.36,6.19,6.48,6.17,462705,291697120.00,4.89,-2.37,-0.15,9.83
2021-10-22,6.00,5.76,6.08,5.71,534142,313440032.00,5.98,-6.95,-0.43,11.34
2021-10-25,5.76,5.94,6.03,5.76,377049,221884226.00,4.69,3.13,0.18,8.01
2021-10-26,5.94,5.79,5.97,5.75,283134,165263628.00,3.70,-2.53,-0.15,6.01
2021-10-27,5.88,5.69,5.88,5.63,253552,144660799.00,4.32,-1.73,-0.10,5.38
2021-10-28,5.70,5.53,5.73,5.43,283793,157531073.00,5.27,-2.81,-0.16,6.03
2021-10-29,5.58,5.65,5.73,5.55,267473,151072901.00,3.25,2.17,0.12,5.68
2021-11-01,5.65,5.80,5.85,5.53,323539,186746672.00,5.66,2.65,0.15,6.87
2021-11-02,5.90,5.93,6.15,5.77,588913,350029504.00,6.55,2.24,0.13,12.51
2021-11-03,5.70,5.86,5.94,5.63,356564,207284505.00,5.23,-1.18,-0.07,7.57
2021-11-04,5.98,6.08,6.14,5.93,467052,283376976.00,3.58,3.75,0.22,9.92
2021-11-05,6.02,6.07,6.34,5.98,434422,266281543.00,5.92,-0.16,-0.01,9.22
2021-11-08,6.04,5.97,6.13,5.92,275286,164981905.00,3.46,-1.65,-0.10,5.85
2021-11-09,5.91,6.14,6.16,5.88,334904,202812914.00,4.69,2.85,0.17,7.11
2021-11-10,6.10,6.14,6.27,6.00,301115,184291029.00,4.40,0.00,0.00,6.39
2021-11-11,6.12,6.03,6.18,5.98,253561,153262272.00,3.26,-1.79,-0.11,5.38
2021-11-12,5.96,5.92,6.12,5.88,275404,165251686.00,3.98,-1.82,-0.11,5.85
2021-11-15,5.95,5.88,6.02,5.71,262018,153407547.00,5.24,-0.68,-0.04,5.56
